"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.6460292751613","64.8250152381754","65.0288859630979","65.1372491827564","65.2111910004992","65.4418885429213","65.6559917764833","65.8149735648615","65.9820402478518","66.1596868399214","66.3332739251999","66.4922872751443","66.7137889157757","66.9470135412857","67.1447682698232","67.3358158239007","67.2446995775027","67.0352142425716","66.8241812410159","66.3864361575176","65.9583045777492","65.7806750987389","65.6300767825634","65.7441674547003","65.7347651683481","65.9058559017581","65.9858632257559","66.192803454108","66.2876851540799","66.4245597642446","64.1937492123989","64.9724749799784",
"Afghanistan","AFG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1800003051758","15.21399974823","15.2229995727539","15.1969995498657","15.1780004501343","15.2209997177124","15.0780000686646","14.9540004730225","14.8730001449585","14.8269996643066","14.7950000762939","14.9359998703003","15.1129999160767","15.2980003356934","15.4750003814697","15.6440000534058","15.4549999237061","15.2749996185303","15.1370000839233","15.076000213623","15.1110000610352","15.4540004730225","15.878999710083","16.7940006256104","17.7490005493164","18.746000289917","19.7980003356934","20.886999130249","21.2280006408691","21.5659999847412","16.1889991760254","14.8479995727539",
"Africa Western and Central","AFW","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.0630147088556","60.0255608814283","59.9460727094147","59.9016377448437","59.8596365577205","59.8355339082831","59.7728603163937","59.7301137690887","59.7038853163566","59.669250463672","59.6366393293583","59.5527624435264","59.4753003120923","59.3809030633016","59.3059579535071","59.1907599658936","59.0405596020965","58.9451435272319","58.6986795912377","58.4418751410922","58.1750699679289","58.0784507850906","56.7587957958666","55.4246529135603","55.0574241475815","54.8676722976407","54.6142044933652","54.3596472037346","54.1795426373017","54.0377315804055","52.8256032074438","53.0492713023417",
"Angola","AGO","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.4079971313477","75.3809967041016","75.3690032958984","75.3710021972656","75.3870010375977","75.4160003662109","75.4140014648438","75.4280014038086","75.4560012817383","75.4940032958984","75.5390014648438","75.5459976196289","75.5640029907227","75.5899963378906","75.6169967651367","75.640998840332","75.625","75.6139984130859","75.6070022583008","75.6029968261719","75.6050033569336","74.8470001220703","74.8339996337891","74.8330001831055","74.8430023193359","74.8639984130859","74.8820037841797","74.9120025634766","74.9550018310547","75.0110015869141","73.6179962158203","73.9680023193359",
"Albania","ALB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.3639984130859","54.7270011901855","55.6080017089844","54.6380004882813","53.8250007629395","52.576000213623","51.6599998474121","52.6150016784668","51.6580009460449","50.4449996948242","49.7820014953613","49.0870018005371","48.7569999694824","48.1860008239746","47.625","47.0670013427734","46.5110015869141","45.9580001831055","45.4099998474121","45.8390007019043","46.7270011901855","52.4459991455078","48.7779998779297","43.5979995727539","43.7330017089844","46.8979988098145","49.6759986877441","49.5099983215332","51.1889991760254","52.7229995727539","49.7859992980957","50.7330017089844",
"Andorra","AND","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3019541044205","19.3921228550192","19.7574868325","19.7089440873762","20.0875613435747","19.9290762614724","19.8805625722162","19.765059380374","19.6914032487355","20.1959143862141","20.242163655653","20.1532917500333","19.471008295753","19.7144476207905","19.9219674949016","20.1511533364769","20.4583025381052","20.9850584415698","20.6834591554151","20.7885234603441","20.9093804105692","20.8828237791613","21.0012811696482","21.3011788841277","21.3794097003226","21.5105740697431","21.7175509130804","21.0495168076691","20.154795441799","19.8663563772753","19.4102261900018","19.429083006088",
"United Arab Emirates","ARE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0830001831055","29.7789993286133","30.2719993591309","30.9440002441406","31.121000289917","31.2789993286133","31.882999420166","32.4799995422363","33.0719985961914","33.6590003967285","34.2439994812012","34.9109992980957","35.5859985351563","36.2159996032715","36.7439994812012","37.1759986877441","37.9790000915527","38.8120002746582","39.7389984130859","40.7949981689453","41.976001739502","43.3009986877441","44.7179985046387","46.189998626709","47.6590003967285","49.0719985961914","50.3730010986328","51.9469985961914","48.951000213623","48.9230003356934","45.7029991149902","46.5419998168945",
"Argentina","ARG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0410003662109","46.3310012817383","47.4860000610352","48.7169990539551","49.576000213623","48.9659996032715","49.7620010375977","50.9729995727539","51.4939994812012","50.7750015258789","50.5089988708496","49.6129989624023","47.507999420166","48.8009986877441","50.1360015869141","49.2799987792969","49.9160003662109","49.0800018310547","48.2430000305176","48.9640007019043","47.875","48.1339988708496","48.234001159668","47.826000213623","47.5999984741211","47.6790008544922","47.7599983215332","47.8440017700195","49.3160018920898","50.1679992675781","46.6419982910156","50.0099983215332",
"Armenia","ARM","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.8330001831055","44.8639984130859","44.9039993286133","44.9519996643066","45.0029983520508","45.0530014038086","45.0870018005371","45.117000579834","45.140998840332","45.1580009460449","45.1689987182617","45.1619987487793","45.1510009765625","45.1389999389648","45.1319999694824","45.1300010681152","45.1339988708496","45.1450004577637","44.8390007019043","45.5499992370605","46.9339981079102","49.4620018005371","49.8370018005371","50.2070007324219","49.5390014648438","48.7779998779297","47.0340003967285","46.890998840332","43.1119995117188","44.7569999694824","41.9609985351563","42.6629981994629",
"American Samoa","ASM","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.2179985046387","51.9500007629395","51.9090003967285","51.6720008850098","52.5709991455078","53.576000213623","53.7630004882813","53.5439987182617","53.5989990234375","53.5800018310547","54.4659996032715","55.0019989013672","55.1889991760254","55.8709983825684","55.6450004577637","56.9269981384277","57.4780006408691","58.0279998779297","58.5040016174316","58.7070007324219","58.564998626709","58.8160018920898","58.7249984741211","58.6440010070801","58.6139984130859","59.0769996643066","59.3050003051758","59.8139991760254","60.4560012817383","60.9290008544922","60.1730003356934","61.056999206543",
